#ID,Name,Likelihood Of Attack,Typical Severity,Prerequisites,Mitigations
467,"Cross Site Identification",Medium,Low,"active session",""
102,"Session Sidejacking",High,High,"packet sniffing tool",""
107,"Cross Site Tracing",Medium,High,"http trace enabled;scripting enabled",""
629,"Unauthorized Use of Device Resources",Low,Medium,"none",""
237,"Escaping a Sandbox by Calling Code in Another Language",Medium,High,"none",""
87,"Forceful Browsing",Medium,Medium,"resouce improperly protected",""
202,"Create Malicious Client",High,High,"has abusable behavior patterns",""
200,"Removal of filters: Input filters; output filters; data masking",Low,Medium,"target must have a filter",""
162,"Manipulating Hidden Fields",High,Medium,"target contains non-validating hidden fields",""
219,"XML Routing Detour Attacks",Low,High,"target has multiple stages of XML content",""
385,"Transaction or Event Tampering via Application API Manipulation",Low,Low,"target utilizes application framework APIs",""
389,"Content Spoofing Via Application API Manipulation",Low,Medium,"target utilizes application framework APIs",""
263,"Force Use of Corrupted Files",Medium,High,"corruptable configuration file",""
58,"Restful Privilege Elevation",Low,High,"attacker identifies get urls",""
562,"Modify Shared File",Medium,Medium,"none",""
563,"Add Malicious File to Shared Webroot",Medium,High,"none",""
104,"Cross Zone Scripting",Medium,Medium,"target is zone-aware browser",""
234,"Hijacking a privileged process",High,Medium,"target contains bug",""
236,"Catching exception throw/signal from privileged block",Medium,Medium,"hijack privileged thread",""
69,"Target Programs with Elevated Privileges",Low,Medium,"elevated OS privilege;no input validation",""
555,"Remote Services with Stolen Credentials",Medium,High,"none",""
600,"Credential Stuffing",Medium,High,"target has one factor authentication",""
509,"Kerberoasting",High,Medium,"authenticated user access;brute force tool",""
561,"Windows Admin Shares with Stolen Credentials",Medium,High,"application on windows domain;adversary has list of admin credentials",""
644,"Use of Captured Hashes (Pass The Hash)",Medium,Low,"application on windows domain;adversary has list of credential hash value pairs",""
25,"Forced Deadlock",Medium,High,"target has deadlock condition;target exposes api to attacker",""
27,"Leveraging Race Conditions via Symbolic Links",Medium,High,"host does insecure file creation",""
140,"Bypassing of Intermediate Forms in Multiple-Form Sets",Low,Low,"target collects information from user",""
20,"Encryption Brute Forcing",Medium,High,"ciphertext is known;encryption algorithm and key size known",""
16,"Dictionary-based Password Attack",Low,Medium,"system has one factor password",""
55,"Rainbow Table Password Cracking",Low,Medium,"original password hash available to attacker;system has one factor password",""
565,"Password Spraying",Medium,Medium,"system has one factor password;attacker has list of known user accounts",""
70,"Try Common or Default Usernames and Passwords",Medium,High,"system has one factor password",""
215,"Fuzzing for application mapping",Medium,Medium,"targets fails to sanitaze incoming messages",""
41,"Using Meta-characters in E-mail Headers to Inject Malicious Payloads",Low,High,"targets most web based programs",""
135,"Format String Injection",Low,Medium,"target must accept string as user input",""
138,"Reflection Injection",Medium,Medium,"target must accept string as user input;target uses reflection libraries",""
460,"HTTP Parameter Pollution (HPP)",Medium,High,"uses http protocol with get post parameters",""
174,"Flash Parameter Injection",Medium,Medium,"none",""
178,"Cross-Site Flashing",Low,Low,"target must reference external urls",""
6,"Argument Injection",Low,High,"target must allow unvalidated input"
252,"PHP Local File Inclusion",Medium,Medium,"target contains bug",""
640,"Inclusion of Code in Existing Process",Low,High,"target fails to verify integrity of process",""
660,"Root/Jailbreak Detection Evasion via Hooking",Medium,High,"target must be non-restricted",""
